run_fwt_mixed.m	1000000	10	1
run_fwt_mixed.m	100000	100	1
run_fwt_mixed.m	10000	1000	1
run_fwt_mixed.m	1000	10000	1
run_fwt_mixed.m	100	100000	1
run_fwt_mixed.m	1000000	10	10
run_fwt_mixed.m	100000	100	10
run_fwt_mixed.m	10000	1000	10
run_fwt_mixed.m	1000	10000	10
run_fwt_mixed.m	100	100000	10
run_fwt_mixed.m	1000000	10	100
run_fwt_mixed.m	100000	100	100
run_fwt_mixed.m	10000	1000	100
run_fwt_mixed.m	1000	10000	100
run_fwt_mixed.m	100	100000	100
run_fwt_normal.m	1000000	10	1
run_fwt_normal.m	100000	100	1
run_fwt_normal.m	10000	1000	1
run_fwt_normal.m	1000	10000	1
run_fwt_normal.m	100	100000	1
run_fwt_normal.m	1000000	10	10
run_fwt_normal.m	100000	100	10
run_fwt_normal.m	10000	1000	10
run_fwt_normal.m	1000	10000	10
run_fwt_normal.m	100	100000	10
run_fwt_normal.m	1000000	10	100
run_fwt_normal.m	100000	100	100
run_fwt_normal.m	10000	1000	100
run_fwt_normal.m	1000	10000	100
run_fwt_normal.m	100	100000	100
run_fwt_quasi.m	1000000	10	1
run_fwt_quasi.m	100000	100	1
run_fwt_quasi.m	10000	1000	1
run_fwt_quasi.m	1000	10000	1
run_fwt_quasi.m	100	100000	1
run_fwt_quasi.m	1000000	10	10
run_fwt_quasi.m	100000	100	10
run_fwt_quasi.m	10000	1000	10
run_fwt_quasi.m	1000	10000	10
run_fwt_quasi.m	100	100000	10
run_fwt_quasi.m	1000000	10	100
run_fwt_quasi.m	100000	100	100
run_fwt_quasi.m	10000	1000	100
run_fwt_quasi.m	1000	10000	100
run_fwt_quasi.m	100	100000	100

